Session Summary
key,value
session_id,fixture-session-android
user_id,
start_time,2026-01-15T10:58:23.993Z
end_time,2026-01-15T11:25:22.485Z
elapsed_seconds,1618
rower_type,OUTRIGGER
boat_type,OC1
visibility,PUBLIC
total_distance_m,4456
avg_speed_ms,2.8454661558109833
avg_split_s_500m,175.7181328545781
avg_spm,24
total_strokes,556
avg_heart_rate,
max_heart_rate,
avg_dps_m,8.014388489208633
best_split_s_500m,164.80815513129713
avg_power_w,65
max_speed_ms,3.9033363471577807

Device Info
key,value
device_model,fixture-mobile-android
device_os,android
device_os_version,14
app_version,7.0.2
app_build,1

Workout Logs
timestamp,latitude,longitude,speed,split_seconds,spm,stroke_count,heart_rate,accelx,accely,accelz
2026-01-15T11:03:27.363Z,10.0050034,10.0006058,2.611612735005706,191.4525815018694,21,91,,0,0,0
2026-01-15T11:03:32.711Z,10.0051434,10.0006091,2.617527817792045,191.01993743919917,18,92,,0,0,0
2026-01-15T11:03:38.704Z,10.0052834,10.0006091,2.5956120751432925,192.63279162098874,19,94,,0,0,0
2026-01-15T11:03:44.702Z,10.0054218,10.0006091,2.5537433014713757,195.79101772363646,23,96,,0,0,0
2026-01-15T11:03:50.041Z,10.0055201,10.0006189,2.533887448641087,197.32526015239858,23,97,,0,0,0
2026-01-15T11:03:56.693Z,10.0057034,10.0006189,2.5731504883737597,194.3143248943834,25,98,,0,0,0
2026-01-15T11:04:01.735Z,10.0057884,10.0006155,2.6002083659191166,192.29228186228875,23,101,,0,0,0
2026-01-15T11:04:08.696Z,10.0059784,10.0006123,2.589049274866076,193.12108303765814,31,104,,0,0,0
2026-01-15T11:04:14.598Z,10.0060668,10.0006140,2.5719334514208385,194.40627428512198,29,108,,0,0,0
2026-01-15T11:04:20.161Z,10.0062018,10.0006042,2.5487576072455456,196.1740098699901,27,110,,0,0,0
2026-01-15T11:04:26.045Z,10.0063368,10.0005960,2.540586177679108,196.80497532138943,23,112,,0,0,0
